Inpt Size flits : 	2	Output Size flit : 	1.38672
Inpt Size flits : 	2	Output Size flit : 	1.38672
Inpt Size flits : 	2	Output Size flit : 	1.38672
Inpt Size flits : 	2	Output Size flit : 	1.28125
Inpt Size flits : 	2	Output Size flit : 	1.38672
Inpt Size flits : 	2	Output Size flit : 	1.38672
Inpt Size flits : 	2	Output Size flit : 	1.38672
Inpt Size flits : 	2	Output Size flit : 	1.38672
Inpt Size flits : 	2	Output Size flit : 	1.28125
Inpt Size flits : 	2	Output Size flit : 	1.28125
Inpt Size flits : 	2	Output Size flit : 	1.28125
Inpt Size flits : 	2	Output Size flit : 	1.38672
Inpt Size flits : 	2	Output Size flit : 	1.07031
Inpt Size flits : 	2	Output Size flit : 	1.38672
Inpt Size flits : 	2	Output Size flit : 	1.38672
Inpt Size flits : 	2	Output Size flit : 	0.648438
Inpt Size flits : 	2	Output Size flit : 	1.38672
Inpt Size flits : 	2	Output Size flit : 	0.648438
Inpt Size flits : 	2	Output Size flit : 	0.648438
Inpt Size flits : 	2	Output Size flit : 	0.648438
Inpt Size flits : 	2	Output Size flit : 	0.648438
Inpt Size flits : 	2	Output Size flit : 	0.648438
Inpt Size flits : 	2	Output Size flit : 	0.648438
Inpt Size flits : 	2	Output Size flit : 	1.38672
Inpt Size flits : 	2	Output Size flit : 	1.17578
Inpt Size flits : 	2	Output Size flit : 	0.648438
Inpt Size flits : 	2	Output Size flit : 	0.648438
Inpt Size flits : 	2	Output Size flit : 	0.648438
Inpt Size flits : 	2	Output Size flit : 	1.28125
Inpt Size flits : 	2	Output Size flit : 	0.542969
Inpt Size flits : 	2	Output Size flit : 	0.648438
Inpt Size flits : 	2	Output Size flit : 	0.648438
Inpt Size flits : 	2	Output Size flit : 	0.859375
Inpt Size flits : 	2	Output Size flit : 	0.648438
Inpt Size flits : 	2	Output Size flit : 	0.648438
Inpt Size flits : 	2	Output Size flit : 	0.648438
Inpt Size flits : 	2	Output Size flit : 	0.648438
Inpt Size flits : 	2	Output Size flit : 	0.648438
Inpt Size flits : 	2	Output Size flit : 	0.648438
Inpt Size flits : 	2	Output Size flit : 	0.648438
Inpt Size flits : 	2	Output Size flit : 	0.648438
